QID1	Position	Q2_1	Q2_2	Q2_3	Q2_4	Q2_5	Q2_6	Q3_1	Q3_2	Q3_3	Q3_4	Q3_5	Q3_6	Q4_1	Q4_2	Q4_3	Q4_4	Q4_5	Q4_6	Q4_7	Comments	Gender	LGBTQ	UnderRep	Black	Asian	LatinX	MiddleEast	Native	HawaiiPI	White	Other	Ethnicity.text	Disability	Military	Academic_Class	Staff_wStudents	Faculty_rank	Faculty_appoint	Gender.exp	LGBTQ.text	Q18_1	Q18_2	Q18_3	Q18_4	Q18_5	Q19_1	Q19_4	Q19_5	Q19_6	Q19_7	Q19_8	Q19_9	Q19_10	Q19_11	Q19_12	Q19_13	Q19_14	Disability.text	role		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	4	4	4	5	4	4	4	4	4	4	4	4	5	2		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	4	2	3	5	5	4	4	5	5	4	5	5	3	5	4		2		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5		5	5	5	4	2	4	2	5	5	5		5	"While the Cockrell school tries at a surface-level to be open and welcoming to people of all backgrounds, the *culture* of the Cockrell school overwhelmingly favors the success of students who are affluent, white, male, and perhaps more than anything, students who possess familiarity to that culture through their parents or other people close to them."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	4	4	4	4	4	4	2	4	4	4	4	4	4	5	4		4		"I receive many emails from students praising my teaching but my CIS scores for EM 319 are usually only around 3.8. Even though I put enormous efforts in my teaching, I don’t feel that students value my efforts overall because the material is hard."	Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served			Associate	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	1	1	3	2	1	5	5	2	4	1	5	1	3	5	4		3		"DEI is often seen as supportive people from disadvantaged groups.  But there are other aspects of diversity - diversity of thought and values.  No group is homogeneous.  It is clear to me that while there are significant efforts to obtain and promote women and persons of color, and to a lesser extent signal support for the LGBT community, there is less support for other kinds of diversity.  The faculty, including those of color, generally come from upper middle class backgrounds and expect the world to work in a certain way.  There is also a set of shared values in the CSE (and UT) of what makes up a contribution from a faculty member that tends to diminish other accomplishments.  Basically, if you are not part of the club at UT, you are a 2nd class citizen."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	4	5	5	5	4	5	5	5	4	5	5	5	5	5	5	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	4	4	4	4	3	4	4	3	5	4	5	4	4	4	2		4			Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	2	2	1	3	4	4	4	4	2	4	2	4	5	5	3	2		4		Cisgender Man*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	3	4	3	4	4	4	4	4		4	4	5	5	5		3				Cisgender Man*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5		5		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4			"I acknowledge that my responses above are not particularly helpful or differentiating. As a rule I find all accepting, helpful, largely respectful, and that I am surrounded by opportunity. Daily demands can consume all time and I must advocate for my own professional growth. There is no specific time or support set aside for that aspect of work place life, but I have no overt expectation of such.
  
The University itself offers an abundance of opportunity, and I feel welcome to avail myself to it if circumstance makes it feasible - so the limiting factors appears to me to be time and personal motivation.

If there is any sense of disappointment or frustration, they are only those I share with others regarding common infrastructure issues (COVID-19 issues aside). 

1) transportation between Pickle and main campus: It is an unpredictable time sink. I fear UT is not engaged with the city sufficiently to maximize the opportunity of Project Connect. UT should be working very hard and very visibly to maximize its interests (and that of the city) to assure a robust Downtown/Main Campus - Domain/Pickle Research Campus transport corridor is created. Predictable, reasonably frequent, no transfers needed.

2) It feels like some important topics are ignored by the University, but this is much as in broader society. But if the University isn't a fountain of leadership and ideation on the tough topics, what venues are left?  For example, we have pockets of technical leadership in climate change science, but UT System management of PUF lands, our relationship with the O&G industrial interests, don't reflect world class effort nor intent to seize the leadership opportunity that one might hope for from self proclaimed energy university. Especially disappointing when the need is so great and the opportunity so large.


"	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	Master's student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	4	4	4	4	4	4	4	4	5	4	5	5	5	4		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	4	4	4	4	4	5	5	5	5	4	5	5	5	5	3	5		5		Cisgender Woman*	No	No	0	0	0	1	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	5	4	4	4	4	5	5	5	5	4	4		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	3	3	4	3	4	4	5	5	5	3	5	3		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	3	4	3	4	4	5	4	4	5	5	4	4	4	4	4		4		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	3	4	5	5	4	4	4	4	5	5	4	5	5	5		5		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	Master's student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	5	5	5	5	4	4	4	4	5		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	2	2	1	2	2	2	3	3	2	1	1	3	2	3	3	2		1		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	4	4	4	4	4	4	2	3	4	4	4	5	4	4		4		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	3	4	2	2	3	4	4	3	2	2	3	3	3	5	3	3		2		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	4	4	5	4	4	3	4	3	4	5	5	5	5	2	4		4		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	Master's student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	2	3	2	3	2	3	3	4	3	2	2	3	2	3	4	2	2			"This is difficult to evaluate because the concept of being diverse and actually taking steps to be diverse are very different. CSE doesn't demonstrate much diversity in supervisory or leadership roles and in most departments, people who are promoted within or have leadership roles do not reflect people who look like me (person of color). It's very hard to find mentorship on the staff level and the professional development or growth I've obtained has been of my doing, not something actively encouraged within dept or by supervisors/leaders.  For resources, that rating is based on the fact that there's not enough people staffed to provide faculty support. It's disappointing that certain staff are valued and visibly supported to do their jobs - others aren't and set up to fail because the work provided isn't considered beneficial/worth investment."	Cisgender Woman*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	3	3	2	2	5	3	4	2	4	4	4	3	5	5	3	4				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5		5		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	Master's student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	2	4	3	3	5	4	4	5	3	3	4	4	5	3	5			"As a research staff member, non PhD, it is often difficult working with faculty and have them see value in our work.  Things are improving, but it is slow.  I also get frustrated by the competitive nature that seems to prevail and prevent collaboration within CSE."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	2	3	4	3	4	4	3	4	5	5	5	5	5	5		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	4	4	5	4	4	4	4	4	5	4	5	5	4	5	5		5		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	2	2	4	4	3	4	4	3	4	4	5	4	3	5	5	4		5	Cockerel is very inclusive to everyone.	Cisgender Man*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	5	4	4	5	5	4	4	4	3	4	4	4	4	4	4				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		4		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	Master's student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	2	4	4	4	4	4	4	4	5	4	5	5	5	2	4		5		Cisgender Woman*	No	No	0	1	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	2	2	2	4	4	1	1	5	5	5	5	5	5	5	3	5	4		4	"Dr. Rick Neptune once made inappropriate comments to me about my dating life during office hours. He also made light of the concerns I had about balancing work (how I paid for my tuition) and school. Nobody will believe a student over a professor, so I kept the situation to myself.

"	Response not listed (you'll have a chance to specify later)	No	Yes	0	0	0	0	0	0	0	TRUE			I have never served																									NA		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5			5			Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served			Not applicable to my position	Research faculty																					Faculty		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	4	3	5	5	3	5	5	5	5	5	3	3	3	5	5		5		Both the Cockrell School and UT are very conventional in some ways.	Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served			Associate	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	3	2	3	4		5	5	5	5	5	5	4	5	5	5	4				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	3	3	5	2	4	3	4	3	5	4	4	4	4	5	4	4				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"Yes, I have a disability"	I have never served		Yes																Chronic Illness/Medical Condition	Mental Health/Psychological Condition						Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	4	5	4	4	5	4	3	4	4	4	4	4	4	5	4		4			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	5	5	5	5	5	5	4	5	3	4	3	4	4	5		5			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	3	3	3	3	2			4	3		2		4	4	4	5		4	I'm a first year phd student so I've only know remote school. I haven't met any faculty in person and only a handful of other students. I need to be assigned a desk so I can have a solid workspace.	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	3	2	2	2	2	1	3	3	3	4	3	4	2	2	5	1		2		"My grandfather grew up in depression era.  I remember we had a school kid group come over asking for charity and he was all enthusiastic, encouraged them, and gave them a dollar. The look on the kids face was of surprise and confusion. On the other hand, my grandfather thought giving a  5$ was being more than generous. (We had to laugh with the group  saying he was kidding and gave them a check for a much more appropriate amount). Why I say this is likely obvious. CSE leadership is in a tough position - trying to balance donor needs, broader culture, professional desires-  so even when they try to push for DEI reforms it is apparent it is highly watered down. The key seems to be what is the least that can be done so as to ensure we are not being blind to the DEI issues and that way we can still not be questioned by donors and prejudice. There is lot of lip service. There is good intent. Where is the actual implementation? Where is the bold leadership on this? The city went through a freeze and disaster. Other colleges, and deans and administrators went out of their way, connected with students, with faculty, with groups, as fellow humans, where were the CSE leaders? Sending a we are strong as a college, and we care message after the fact is iconic of checking the box, but not having it in the fiber that their role as leaders with empathy and service at heart.  Without strong leadership, without absolutely strong commitment to ensure diversity in all forms - race, culture,  expertise, ideas makes us stronger, this college of mine is going to be just this - a firm that educates students (thankful that it does well on technology and science), counts the $s, recruits people because of location and aura of the city as a blue dot in red sea, but essentially would never rise to the top unless it champions diversity. Respect every faculty no matter who they are. Treat them as equal, no matter what is their affiliation or expertise.  Create avenues for growth and recognition. Be leaders not managers. Without this we are all excelling our path to be firmly grounded as aspiring to be a topnotch but never a topnotch college for decade to come. I pray I am wrong."	Response not listed (you'll have a chance to specify later)	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty	Perfect																				Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	4	3	5	3	4	4	5	5	5	4	5	5	5	2	4	5				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4		4		Cisgender Man*	No	Yes	0	1	0	0	0	0	0	FALSE		"Yes, I have a disability"	I have never served	1st year undergraduate																				Physical/Mobility condition that does not affect walking				Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5		5		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	5	5	5	4	5	4	4	5	4	4	3	3	5	5		5			Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	1	1	2	1	2	1	3	5	2	4	3	2	1	2	5	2	1			"Some faculty are fantastic but many have a superior attitudes. 
The lack of female faculty is astonishing. When given a chance to hire a female, a male was instead chosen. 
I have also heard colleagues state things such as “Why do we care about him, he’s a zero.”  
A staff member is often hostile, yelling or giving you he silent treatment if they do not get their way. Three different members in our group has brought this to our supervisors attention. We do not feel comfortable or safe working with this individual. Instead of addressing the issue, we were retaliated against on our next review with no explanation for demerits."	Cisgender Woman*	No	No	0	0	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	3	2	4	4	4	3	4	3	4	4	4	4	4	4	4	3		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	3	3	4	3	3	3	2	3	3	4	2	3	4	4	3	3	4				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	4	3	3	3	3	3	3	4	4	4	3	5	4	4		4		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	5	5	5	5		5	5	5	4	4	5	5	5	3	2	5		5		Cisgender Man*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	4	4	4	3	4	4	3	4	5	4	5	5	5	3	5		5		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	3	4	2	5	3	4	3	4	4	4	3	2	2	4	4	4				Cisgender Woman*	No	No	0	1	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	2	3	5	5	5	5	3	4	3	2	3	3	4	5	5	5		5		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	5	5	5	5	5	5	4	4	5	4	4	4	5	5	5			Diversity is a huge issue in engineering. I don't really know that it needs to be elaborated on.	Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	5	5		5	5	5	5	5	5	5	5		5		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I am currently serving or formerly served in the military forces of another government	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5		5		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	3	2	2	3	2	2	4	4	2	4	4	4	4	3		2		Cisgender Man*	No	Yes	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I am currently serving or formerly served in the military forces of another government	Master's student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	5	5	5	5	4		4	5	5	3	4	5	5	4	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	2	2	3	4	3	3	5	5	2		4		4	5	4		4		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	4	4	3	5	3	5		4	5	5	3	4	4	5	4	5			"I do see people who look like me in positions I aspire to hold, HOWEVER, I am a white person so this answer is not particularly meaningful. I do not see a diverse population within the CSE Leadership."	Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	5	4	4	5	5	4	5	5	5	5	5	5	4	5		5		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	2	2	4	2	3	3	2	3	3	4	2	4	4	4	5	5	3			"Our research unit relies on full-time staff researchers to win projects that pay our salary but we do not get compensated adequately with overhead return to be successful in that endeavor. As such, it is inevitable that we will decline."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	4	3	4	5	3	3	4	4	4	4	3	5	2	5		5		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	2	4	4	4	3	4	4	3	4	4	3	4	4	4	3		5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	4	4	3	3	4	4	4	4	4	4	4	4	4	4	3	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	3	1	3	3	3	1	3	4	3	5	1	4	4	4	4	4	2			"Having two positions in the Cockrell School, is difficult.  It seems like a race sometimes to see which unit can minimize their contribution."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	2	3	1	4	1	1	1	4	2	3	1	1	1	1	5	1		1			Cisgender Woman*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served			Associate	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	3	3	3	4	4	3	4	4	3	2	2	3	5	2	3		4	"I feel grateful for being here at UT with so many resources for research, but at the same time feel that they are not really putting affirmative actions in place. In general, I don't think most of the population understands or cares about why representation matters. I feel that there are only a few Professors/Staff/students taking the lead on this. I feel that there are very few actions to promote diversity at the graduate student level. The results from the last few years show no clear trend of improvement of minorities recruitment/retention/graduation. There are many committees in place but I have not seen the actions or results yet."	Cisgender Man*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	3	3	3	4	3	4	4	5	4	4	3	4	4	4	5	3	5				Cisgender Woman*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	4	4	4	4	4	4	3	5	3	4	3	4	5	3		4		I think there are cases of tenured/more established professors getting preference or leeway in their actions over more junior faculty	Cisgender Woman*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served			Assistant	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	2	2	2	3	2	4	4	4	3	3	4	2	4	3	5	1	3		4		Cisgender Man*	No	No	0	0	0	0	0	0	0	TRUE	Arab	"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	5	5	4	3	4	3	4	4	4	4	4	4	5	3		5		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
