QID1,Position,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Comments,Gender,LGBTQ,UnderRep,Black,Asian,LatinX,MiddleEast,Native,HawaiiPI,White,Other,Ethnicity.text,Disability,Military,Academic_Class,Staff_wStudents,Faculty_rank,Faculty_appoint,Gender.exp,LGBTQ.text,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q19_14,Disability.text,role,Filter?,Sexual Identity
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",4,3,4,3,5,5,5,5,4,5,4,4,4,3,5,2,5,#N/A,#N/A,"Though the culture may be accepting of diverse backgrounds, there is no active support of diverse backgrounds. Specifically, those without financial assistance and first-generation college applicants.",Cisgender Woman*,Yes,Yes,0,0,1,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,Yes,#N/A,#N/A,#N/A,Bisexual,3,3,2,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,2,5,5,3,4,4,4,4,2,3,4,4,3,5,4,#N/A,#N/A,4,#N/A,Nonbinary/Gender Non-Conforming,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,1st year undergraduate,#N/A,#N/A,#N/A,#N/A,"asexual, panromantic",4,4,2,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Asexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,3,4,4,4,4,3,4,4,4,4,5,5,5,3,3,#N/A,4,I do not see much trans representation in Cockrell though I do feel respected and valued,Transgender,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"Yes, I have a disability",I have never served,5th+ year undergraduate,#N/A,#N/A,#N/A,#N/A,Straight,4,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Mental Health/Psychological Condition,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Straight
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,4,3,3,3,4,3,3,3,4,4,5,4,5,5,3,#N/A,3,"In the interactions I’ve had with faculty, I’ve felt supported and helped. I don’t feel like I really belong community wise as I don’t have many friends despite being involved in some student orgs",Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,5,5,3,3,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,5,4,5,5,5,5,4,4,4,5,5,5,5,4,5,5,#N/A,5,Cindy from engineering student services (ESS) has been extremely helpful throughout my time here. She has been very supportive in my journey getting through my probation. Best staff member.,Cisgender Man*,"It's complicated, I'd like to expand further",No,0,0,0,1,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,I don't feel comfortable sharing,2,2,2,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Undisclosed
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",2,2,2,4,1,3,3,3,3,2,2,2,3,3,4,2,#N/A,#N/A,4,Unequally enforced COVID restrictions in my department have hindered my work this semester.,Cisgender Woman*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,5th+ year undergraduate,#N/A,#N/A,#N/A,#N/A,Pansexual,2,2,1,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Pansexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,4,5,2,5,4,5,3,2,1,4,5,3,5,4,1,#N/A,3,The advisors are not helpful at all and are very rude and make shallow promises that they do not follow through on.,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,bisexual,3,2,3,3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,3,3,3,2,5,5,5,5,2,5,5,3,5,5,4,#N/A,3,I love Cockrell but often feel dismissed by faculty about SSD accommodations. I know it's an inconvenience for them but they shouldn't make it so apparent. Also I wish they got more training on how to deal with the accommodations because I am tired of having to fight with my professors at the beginning of every semester to get what I require. I feel like it puts a strain on the relationship between me and my professor.,Cisgender Woman*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"Yes, I have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,Asexual,2,2,2,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Chronic Illness/Medical Condition,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Asexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,3,2,4,3,3,4,5,3,3,4,5,3,3,5,1,2,#N/A,4,I don't feel like I fit in the US academic environment in general.,Cisgender Man*,Yes,Yes,0,0,1,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Bisexual,3,5,4,4,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,4,3,3,4,4,4,3,4,3,4,3,2,5,4,4,#N/A,3,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,#N/A,3,3,3,3,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Undisclosed
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",2,3,4,4,5,2,4,4,4,4,5,4,2,4,5,4,4,#N/A,#N/A,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,Yes,#N/A,#N/A,#N/A,Lesbian,4,4,4,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Lesbian
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,4,5,5,5,4,4,4,5,2,4,4,4,5,2,5,#N/A,5,"Despite the university stating that diversity is encouraged, there are very few people of color and women in both professor/faculty positions or graduate school. I have seen very little attempt from the Aerospace department to hire based on diversity. 

The university does not pay its graduate students a living wage. Based on the increase in rent and population in Austin, in a few years, rent prices will vastly surpass our monthly salary.",Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,1,1,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Undisclosed
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,3,4,5,4,3,3,3,4,4,4,4,4,4,4,4,#N/A,4,#N/A,Nonbinary/Gender Non-Conforming,Yes,No,0,1,0,0,0,0,1,FALSE,#N/A,"Yes, I have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,Jay from Big Mouth,5,5,5,5,1,#N/A,#N/A,Asperger's/Autism Spectrum,#N/A,#N/A,#N/A,#N/A,Mental Health/Psychological Condition,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,TRUE,
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",3,4,2,#N/A,2,2,4,2,3,4,3,3,4,4,4,4,3,#N/A,3,#N/A,Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"Yes, I have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,4,4,2,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Mental Health/Psychological Condition,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",3,3,3,4,2,3,3,4,3,2,4,3,4,4,5,5,4,#N/A,4,#N/A,Transgender,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,1st year undergraduate,#N/A,#N/A,#N/A,#N/A,Homosexual,2,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Gay
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,3,3,2,2,4,2,3,1,3,2,3,3,3,1,2,#N/A,3,#N/A,Cisgender Man*,"It's complicated, I'd like to expand further",No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,straight,3,3,3,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,TRUE,
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,4,4,4,4,4,4,3,4,4,5,3,4,4,5,5,5,#N/A,5,A good connection formed with one of my first semester ECE professors has continues and opened research opportunities for me.,Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,Gay,4,3,3,3,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Gay
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,4,3,3,3,4,3,4,3,4,4,4,3,5,2,3,#N/A,3,#N/A,Cisgender Woman*,Yes,Yes,0,0,1,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,3,3,3,3,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",3,3,4,3,4,3,5,4,4,5,4,3,3,4,5,5,5,#N/A,#N/A,"I have been in two positions within CSE.  The first manager I had was horrible and did not respect my views or contribution.  My current manager does, and it is night and day.",Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,Yes,#N/A,#N/A,#N/A,Bi,3,3,3,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Bisexual
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,#N/A,#N/A,#N/A,Cisgender Woman*,"It's complicated, I'd like to expand further",No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,Yes,#N/A,#N/A,#N/A,Normal,4,4,4,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,TRUE,
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,#N/A,4,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,bisexual,4,4,4,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,3,4,4,5,5,4,4,4,3,3,4,3,5,1,4,#N/A,5,I have not found Cockrell School of Engineering to be embracing of students with disabilities.,Nonbinary/Gender Non-Conforming,Yes,Yes,0,0,1,0,1,0,0,FALSE,#N/A,"Yes, I have a disability",I have never served,1st year undergraduate,#N/A,#N/A,#N/A,#N/A,Queer,3,2,1,1,3,#N/A,#N/A,Asperger's/Autism Spectrum,#N/A,Deaf/Hard of Hearing,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Queer
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",5,5,5,5,5,4,4,4,4,4,5,5,3,5,4,3,5,#N/A,#N/A,#N/A,Cisgender Man*,"It's complicated, I'd like to expand further",No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability","I am no longer serving in U.S. Armed Forces, Military Reserves or National Guard",#N/A,Yes,#N/A,#N/A,#N/A,confused,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Questioning
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,4,4,4,4,3,3,3,4,4,4,3,4,3,4,#N/A,#N/A,#N/A,4,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,4th year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,5,4,3,3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,5,2,2,2,3,3,3,4,2,4,3,4,4,5,3,#N/A,#N/A,3,#N/A,Cisgender Man*,Yes,No,0,0,0,1,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,4,3,2,4,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,5,4,5,2,5,4,4,3,5,3,2,3,2,5,1,4,#N/A,5,#N/A,Cisgender Man*,Yes,Yes,0,1,1,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,queer,5,5,4,4,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Queer
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,2,4,1,2,4,4,1,4,1,3,4,2,5,1,4,#N/A,4,"The Cockrell School of Engineering is doing what it takes to ""appears"" to be caring about inclusive and diversity, in my opinion, the leadership are happy with the status quo.

Specifically:

1. When it comes to decision making of the safety precaution of COVID, including different phases of research activity on campus, student's opinion is not heard nor valued, the decisions came from the office of Vice President of Research, were made without any input from students.

2. We have a very diverse student body with people from different background, the Cockrell School of Engineering do bare minimum of recognizing and providing proper assistance. The assistance will need to be asked and spelled out, and then a path requires lowest efforts was explored.",Cisgender Man*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Homosexual,4,4,1,4,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Gay
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,2,3,4,5,5,5,#N/A,4,4,5,5,5,5,5,5,#N/A,5,#N/A,Cisgender Man*,Yes,Yes,0,0,1,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Queer,3,4,1,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Queer
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,#N/A,#N/A,#N/A,Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,Yes,#N/A,#N/A,#N/A,Gay,4,4,4,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Gay
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",4,5,5,3,3,3,5,5,4,4,2,4,3,3,4,1,5,#N/A,#N/A,"I think the school could do more to ensure that leadership looks diverse. Even though I feel comfortable in my immediate working group, I do not feel the same level of acceptance and don't see the same level of diversity in the school more broadly. Also, I think the school could do much more to make space for gender nonconforming individuals and ensure that faculty/staff are putting in place systems that support GNC individuals.",Nonbinary/Gender Non-Conforming,Yes,No,0,0,0,0,0,0,1,TRUE,#N/A,"No, I do not have a disability",I have never served,#N/A,No,#N/A,#N/A,#N/A,bisexual,5,4,2,3,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,4,3,5,5,5,5,5,5,5,4,5,5,5,5,2,5,#N/A,5,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,Lesbian,3,2,2,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Lesbian
"Yes, I consent","Faculty (e.g., instructional or research)",5,5,5,5,5,5,5,5,5,5,3,5,4,4,5,5,#N/A,5,#N/A,#N/A,Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,#N/A,Full,Tenured or tenure-track faculty,#N/A,gay,1,2,3,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Faculty,FALSE,Gay
"Yes, I consent","Faculty (e.g., instructional or research)",5,5,5,5,5,5,5,4,5,5,4,3,4,5,5,5,#N/A,5,#N/A,#N/A,Cisgender Man*,"It's complicated, I'd like to expand further",No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,#N/A,Full,Tenured or tenure-track faculty,#N/A,#N/A,3,3,3,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Faculty,FALSE,Undisclosed
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",4,3,3,3,2,2,2,1,3,5,2,1,1,1,5,1,3,#N/A,#N/A,There are students that form groups from similar backgrounds and cultures that form alliances. They do not openly shares their work or ideas with other groups that do mot look or share a common background. The faculty has a simlar mindset with people who do not meet their expectations of higher learning achievements.. UT has a very long history  of such exclusion attitudes by the aforementioned groups. i am certain it is not confined to only UT but other institutions.i do. i do acknowledge and praise UT (Austin) for attempting to gain perspective on the current state of the environment and individuals feelings.,Response not listed (you'll have a chance to specify later),"It's complicated, I'd like to expand further",No,0,0,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,Yes,#N/A,#N/A,#N/A,Hetrosexual,1,1,1,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,TRUE,
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,3,5,2,3,3,3,4,4,3,#N/A,2,2,5,#N/A,5,#N/A,4,There is almost no transgender or gender nonbinary visibility (or broader LGBTQ visibility) in the cockrell school at all.,Nonbinary/Gender Non-Conforming,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,Queer,4,4,4,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Queer
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",3,4,4,5,5,4,4,3,4,4,3,4,4,2,5,1,4,#N/A,4,Actively dissuaded from opportunities by fellow students with regards to extracurricular participation,Cisgender Woman*,"It's complicated, I'd like to expand further",No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,2,1,1,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,4,4,4,4,4,5,5,4,4,5,5,5,5,5,5,5,#N/A,5,#N/A,Cisgender Man*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,1st year undergraduate,#N/A,#N/A,#N/A,#N/A,#N/A,5,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Undisclosed
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,3,4,4,3,4,3,3,2,4,3,3,3,5,2,3,#N/A,4,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"Yes, I have a disability",I have never served,4th year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,3,3,1,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Chronic Illness/Medical Condition,Mental Health/Psychological Condition,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,5,5,4,4,4,3,4,4,3,3,3,3,5,4,5,#N/A,5,"I do see a few people who look like me in positions I aspire to, but I do not see enough people. Overall, I have personally had a good experience at Cockrell, but I cannot speak for everyone.",Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,4th year undergraduate,#N/A,#N/A,#N/A,#N/A,bisexual,3,3,3,3,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,4,3,5,3,5,5,3,4,3,5,5,5,5,5,5,5,#N/A,4,#N/A,Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,homosexual,2,2,3,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Gay
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,#N/A,4,#N/A,Cisgender Woman*,Yes,No,0,1,0,0,0,1,0,FALSE,#N/A,"No, I do not have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,Bisexual,5,5,4,4,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,3,4,5,2,4,5,4,4,2,2,1,3,3,5,3,5,#N/A,5,"4th year woman in engineering and I still feel really immense imposter syndrome. There also is still not enough WOC professors in Cockrell unfortunately, though I know that y’all are trying to hire more. Lastly, I think ableism is an unexamined issue in Cockrell? A lot of students and professors are casually ableist about cognitive abilities, neurodivergence, learning disorders, etc. Sadly I have even heard the r-word in class :-(((( I think a workshop or seminar about allyship in Engineering would be a great addition to first year orientation.",Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,4th year undergraduate,#N/A,#N/A,#N/A,#N/A,Queer,2,2,1,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Queer
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,4,3,4,3,4,5,4,4,4,4,2,2,3,5,2,4,#N/A,4,#N/A,Cisgender Man*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Undisclosed
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",3,4,2,3,2,2,2,4,2,2,3,3,2,2,4,3,2,#N/A,2,#N/A,Nonbinary/Gender Non-Conforming,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"Yes, I have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,bisexual,4,4,2,2,1,#N/A,Attention Deficit/Hyperactivity Disorder,#N/A,#N/A,#N/A,Cognitive or Learning Disability,#N/A,Mental Health/Psychological Condition,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",3,1,2,1,1,2,3,4,4,1,2,2,3,4,4,3,3,#N/A,1,#N/A,Cisgender Woman*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,2nd year undergraduate,#N/A,#N/A,#N/A,#N/A,Homosexual,2,2,1,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Gay
